ISO,Country,Subject Descriptor,Subject Notes,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
AFG,Afghanistan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,n/a,n/a,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.353,0.768,1.623,1.434,2.237,2.209,2.049,1.989,1.755,1.703,1.652,1.291,0.902,2019
AFG,Afghanistan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,n/a,n/a,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.557,3.796,9.018,7.586,12.158,11.705,10.712,9.975,8.277,7.74,7.259,5.401,3.674,2019
ALB,Albania,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.246,-0.248,-0.443,-0.432,-0.42,-0.733,-0.592,-1.13,-2.031,-1.853,-1.351,-1.666,-1.257,-1.183,-1.43,-0.981,-0.898,-0.978,-1.024,-1.219,-1.455,-1.488,-1.513,-1.584,-1.627,-1.704,-1.766,2019
ALB,Albania,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.758,-7.979,-9.603,-8.684,-8.26,-8.057,-7.746,-7.599,-7.387,2019
DZA,Algeria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,9.142,7.06,4.359,8.808,11.116,21.183,28.95,30.6,34.449,0.411,12.157,19.802,12.29,0.835,-9.436,-27.29,-26.473,-22.081,-16.706,-17.15,-15.131,-11.691,-13.082,-10.361,-10.541,-10.266,-9.579,2019
DZA,Algeria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,16.699,12.896,7.68,12.979,13.028,20.526,24.738,22.671,20.146,0.3,7.541,9.889,5.879,0.398,-4.413,-16.442,-16.542,-12.973,-9.527,-10.025,-10.486,-7.719,-8.713,-6.906,-7.003,-6.758,-6.228,2019
AGO,Angola,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.796,-1.431,-0.15,-0.72,0.681,5.138,10.69,10.581,7.194,-7.572,7.506,13.085,13.853,8.348,-3.748,-10.273,-4.848,-0.633,7.455,5.149,-0.379,0.52,0.312,-0.154,-0.384,-0.025,-0.457,2019
AGO,Angola,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,7.125,-13.092,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.572,-8.841,-4.794,-0.518,7.039,5.746,-0.607,0.782,0.455,-0.211,-0.491,-0.03,-0.509,2019
ATG,Antigua and Barbuda,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.003,0.029,-0.035,-0.115,-0.233,-0.113,-0.176,-0.345,-0.237,-0.189,-0.17,-0.151,-0.133,2018
ATG,Antigua and Barbuda,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.267,2.194,-2.428,-7.834,-14.541,-6.784,-12.699,-25.041,-15.071,-11.135,-9.242,-7.735,-6.522,2018
